CUSTOMER_NAME|CUSTOMER_TYPE_CODE|TOTAL_SUBMITTED|TOTAL_DELIVERED|TOTAL_DELIVERED_PCT|YESTERDAY_SUBMITTED|YESTERDAY_DELIVERED|YESTERDAY_DELIVERED_PCT
BHARATSOKAGAKKAI|PRE|1920|1846|96%|58|57|98%
THE IVORY PALACE|POST|1350|642|48%|80|62|78%
BUZZLER TECHNOLOGIES PRIVATE LIMITED|PRE|1320|483|37%|9|9|100%
ETERNALGANGES GANGES PRESS PVT LTD|PRE|981|878|90%|58|43|74%
KAVEDIA JEWELLERS PRIVATE LIMITED|PRE|371|355|96%|0|0|0%
KRISHVI SECURITIES PRIVATE LIMITED|PRE|361|276|76%|120|86|72%
MODALITY AUTOMATION PRIVATE LIMITED|PRE|208|188|90%|22|19|86%
FOLLOWG GLOBAL PRIVATE LIMITED|PRE|196|144|73%|5|2|40%
PINNACLEWORKS INFOTECH PRIVATE LIMITED|PRE|135|120|89%|10|6|60%
N S TECHNOLOGY|PRE|106|0|0%|10|0|0%
CHANDAN HEALTHCARE LIMITED|PRE|77|75|97%|8|8|100%
LOGIC E ENGINEER PRIVATE LIMITED|PRE|33|31|94%|2|1|50%
ONEXTEL MEDIA PRIVATE LIMITED|POST|21|6|29%|3|0|0%
IMMENSE SMART SOLUTIONS|PRE|9|9|100%|0|0|0%
FINERTIA|PRE|5|5|100%|0|0|0%
ICUBESWIRE TECHNOLOGIES PRIVATE LIMITED|POST|5|0|0%|0|0|0%
DIAL TEXT|PRE|4|2|50%|0|0|0%
EAZYVENUE|PRE|4|4|100%|0|0|0%
MERCE TECHNOLOGIES PRIVATE LIMITED|POST|2|2|100%|0|0|0%
ADFINMARK|PRE|0|0|0%|0|0|0%
ALENDEI PLATFORMS PVT LTD|POST|0|0|0%|0|0|0%
ALERTBOX VENTURES PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
ALL SMS|POST|0|0|0%|0|0|0%
ALTISSADVANCE TECH PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
ANDLAY ESTATES|PRE|0|0|0%|0|0|0%
ANNET EDUCATIONAL SERVICES PRIVATE LTD|POST|0|0|0%|0|0|0%
ARTZSOURCE TECHNOLOGY SERVICES PRIVATE LIMITED|POST|0|0|0%|0|0|0%
AVM CLOUD SERVICES PRIVATE LIMITED |POST|0|0|0%|0|0|0%
BALAJI TRAVCO INDIA PVT LTD|POST|0|0|0%|0|0|0%
BHAVANA TELEVENTURES LIMITED|PRE|0|0|0%|0|0|0%
BLUE LIFE|PRE|0|0|0%|0|0|0%
BLUE OCKTOPUS TECHNOLOGY SYSTEMS PRIVATE|PRE|0|0|0%|0|0|0%
BROADNET TECHNOLOGIES (INDIA) PRIVATE LIMITED|POST|0|0|0%|0|0|0%
CALL DIGITAL FIRE LLP|PRE|0|0|0%|0|0|0%
CBIS INDIA PRIVATE LIMITED|POST|0|0|0%|0|0|0%
CELETEL TECHNOLOGIES PVT LTD|POST|0|0|0%|0|0|0%
CILWO CLOUD PRIVATE LIMITED |PRE|0|0|0%|0|0|0%
COLORTEXT DIGITAL SOLUTIONS PRIVATE LIMITED - JIO|POST|0|0|0%|0|0|0%
CYBONIX TECHNOLOGIES PRIVATE LIMITED|POST|0|0|0%|0|0|0%
DAKSH INFOSOFT PRIVATE LIMITED|POST|0|0|0%|0|0|0%
DATAGEN INTERNET SERVICES PRIVATE LIMITED|POST|0|0|0%|0|0|0%
DGAS SKYWORLD SMS TECHNOLOGY PVT LTD|PRE|0|0|0%|0|0|0%
DIAMOND OCEAN|PRE|0|0|0%|0|0|0%
DIGIDONAR TELESERVICES|POST|0|0|0%|0|0|0%
DIGIGLITZ TECHNOLOGIES PRIVATE LIMITED|POST|0|0|0%|0|0|0%
DIGITAL HUB INDIA PVT LTD|PRE|0|0|0%|0|0|0%
DIGIWHIFF SOLUTIONS LLP|POST|0|0|0%|0|0|0%
DNA SMS INDIA PVT LTD |PRE|0|0|0%|0|0|0%
EASY WEB SERVICES|PRE|0|0|0%|0|0|0%
EAZY SOLUTIONS|POST|0|0|0%|0|0|0%
EAZY VENUE PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
EPINET INFO PVT LTD|PRE|0|0|0%|0|0|0%
EQUENCE TECHNOLOGIES PRIVATE LIMITED|POST|0|0|0%|0|0|0%
ETTEL MEDIA PVT LTD|POST|0|0|0%|0|0|0%
EVOLGENCE TELECOM SYSTEMS PRIVATE LIMITED|POST|0|0|0%|0|0|0%
FLAMBOYANT TECHNOLOGIES PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
FOXGLOVE CONNECT PRIVATE LIMITED|POST|0|0|0%|0|0|0%
GARAGE PRODUCTIONS PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
