2024-10-12|FBMDTCHTRN2|370813|236975|133838|NEXG|2024-10-16 08:07:46
2024-10-12|GETWAYOTP|44547|20968|23579|NEXG|2024-10-16 08:07:46
2024-10-12|GLOBEOTP|3899|3630|269|NEXG|2024-10-16 08:07:46
2024-10-12|INBOTP1|14860|4555|10305|NEXG|2024-10-16 08:07:46
2024-10-12|INBTRN1|36907|25255|11652|NEXG|2024-10-16 08:07:46
2024-10-12|INBTRN3|37031|25489|11542|NEXG|2024-10-16 08:07:46
2024-10-12|INBTRNPSU7|1478335|1171064|307271|NEXG|2024-10-16 08:07:46
2024-10-12|INBTRNPSU8|1250622|967187|283435|NEXG|2024-10-16 08:07:46
2024-10-12|INBTRNPSU9|1216404|940593|275811|NEXG|2024-10-16 08:07:46
2024-10-12|INFDIGOTP|76459|61165|15294|NEXG|2024-10-16 08:07:46
2024-10-12|INFDIGTRN|295326|259899|35427|NEXG|2024-10-16 08:07:46
2024-10-12|MDSTRN5|20|19|1|NEXG|2024-10-16 08:07:46
2024-10-12|MDZMBLTRN1|126747|70992|55755|NEXG|2024-10-16 08:07:46
2024-10-12|MICRONTTRN|96935|75465|21470|NEXG|2024-10-16 08:07:46
2024-10-12|MISHTELGOV1|312|248|64|NEXG|2024-10-16 08:07:46
2024-10-12|MISHTELTRN1|2|0|2|NEXG|2024-10-16 08:07:46
2024-10-12|MSG91OTP1|171|6|165|NEXG|2024-10-16 08:07:46
2024-10-12|MSG91OTP2|39|3|36|NEXG|2024-10-16 08:07:46
2024-10-12|MSG91TRANS3|82933|55806|27127|NEXG|2024-10-16 08:07:46
2024-10-12|NSTCHTRN|8|0|8|NEXG|2024-10-16 08:07:46
2024-10-12|RPINFOT2|554|347|207|NEXG|2024-10-16 08:07:46
2024-10-12|SHIVCOMOTP|2304|2150|154|NEXG|2024-10-16 08:07:46
2024-10-12|SHREERADHAO|9435|6285|3150|NEXG|2024-10-16 08:07:46
2024-10-12|SITANITRNT|12575|6745|5830|NEXG|2024-10-16 08:07:46
2024-10-12|SMRTMSGOTP2|4|4|0|NEXG|2024-10-16 08:07:46
2024-10-12|SMRTMSGTRN3|134|124|10|NEXG|2024-10-16 08:07:46
2024-10-12|STMTRN2|47299|29835|17464|NEXG|2024-10-16 08:07:46
2024-10-12|STRPDATRN2|328|307|21|NEXG|2024-10-16 08:07:46
2024-10-12|TMTRN|2642309|1887663|754646|NEXG|2024-10-16 08:07:46
2024-10-12|WRDBXGOV|848|774|74|NEXG|2024-10-16 08:07:46
2024-10-12|ZAPBIZOTP|29808|17346|12462|NEXG|2024-10-16 08:07:46
2024-10-12|ZAPBIZTRNT|14806|9420|5386|NEXG|2024-10-16 08:07:46
2024-10-13|ADTEKTRN|30000|27708|2292|NEXG|2024-10-16 08:09:34
